matricula,ano,nota,frequencia,status,tipo
254,2021,73,100,Aprovado,TURMA
255,2013,35,100,R-nota,TURMA
255,2013,60,90,Aprovado,TURMA
256,2019,73,100,Aprovado,TURMA
257,2018,70,100,Aprovado,TURMA
257,2019,0,0,Aprovado,EQUIVALENCIA
258,2022,90,100,Aprovado,TURMA
259,2017,70,93,Aprovado,TURMA
260,2019,70,90,Aprovado,TURMA
261,2017,50,90,Aprovado,TURMA
261,2019,0,0,Aprovado,EQUIVALENCIA
262,2018,97,93,Aprovado,TURMA
262,2019,0,0,Aprovado,EQUIVALENCIA
263,2022,71,100,Aprovado,TURMA
264,2021,87,90,Aprovado,TURMA
265,2019,67,100,Aprovado,TURMA
266,2018,98,100,Aprovado,TURMA
266,2019,0,0,Aprovado,EQUIVALENCIA
267,2019,21,96,R-nota,TURMA
267,2019,75,90,Aprovado,TURMA
268,2021,79,100,Aprovado,TURMA
269,2017,52,100,Aprovado,TURMA
270,2020,0,0,R-freq,TURMA
271,2017,96,96,Aprovado,TURMA
272,2015,50,93,Aprovado,TURMA
273,2013,53,96,Aprovado,TURMA
274,2020,1,20,R-freq,TURMA
274,2020,0,0,Cancelado,TURMA
275,2019,85,100,Aprovado,TURMA
276,2021,0,0,Cancelado,TURMA
276,2021,31,87,R-nota,TURMA
276,2022,0,0,Cancelado,TURMA
277,2019,72,100,Aprovado,TURMA
278,2022,21,100,R-nota,TURMA
278,2022,0,0,Matriculado,TURMA
279,2014,0,100,Cancelado,TURMA
279,2015,10,93,R-nota,TURMA
279,2015,70,75,Aprovado,TURMA
280,2016,71,90,Aprovado,TURMA
281,2019,64,96,Aprovado,TURMA
282,2018,94,100,Aprovado,TURMA
282,2019,0,0,Aprovado,EQUIVALENCIA
283,2020,50,100,Aprovado,TURMA
283,2020,0,100,Cancelado,TURMA
284,2018,0,0,Aprovado,EQUIVALENCIA
285,2017,29,96,R-nota,TURMA
285,2017,28,93,R-nota,TURMA
285,2018,76,93,Aprovado,TURMA
285,2019,0,0,Aprovado,EQUIVALENCIA
286,2015,54,93,Aprovado,TURMA
287,2015,50,100,Aprovado,TURMA
288,2018,35,90,R-nota,TURMA
288,2018,70,86,Aprovado,TURMA
288,2019,0,0,Aprovado,EQUIVALENCIA
289,2019,32,83,R-nota,TURMA
289,2019,79,86,Aprovado,TURMA
290,2016,77,96,Aprovado,TURMA
290,2019,0,0,Aprovado,EQUIVALENCIA
291,2020,95,100,Aprovado,TURMA
292,2016,75,100,Aprovado,TURMA
292,2019,0,0,Aprovado,EQUIVALENCIA
293,2019,74,93,Aprovado,TURMA
294,2017,70,96,Aprovado,TURMA
294,2019,0,0,Aprovado,EQUIVALENCIA
295,2015,93,96,Aprovado,TURMA
296,2016,71,100,Aprovado,TURMA
296,2019,0,0,Aprovado,EQUIVALENCIA
