Consulta 1: Todas as escolas com suas cidades e telefones ;
codigo|nome|cod_municipio|endereco|compl_endereco|bairro|cod_loc_dif|cod_escola|ddd|numero|codigo|nome|uf
11036800|EMEIEF SONHO MEU|1100023|RUA UMUARAMA||SETOR 09|0||||1100023|Ariquemes|RO
11041439|EMEIEF PROF LEVI ALVES DE FREITAS|1100023|AVENIDA DOS DIAMANTES||PARQUE DAS GEMAS|0||||1100023|Ariquemes|RO
11041986|EMEIEF PAULINA MAFINI|1100023|AREA RURAL||AREA RURAL DE ARIQUEMES|0||||1100023|Ariquemes|RO
11042001|EMEF FLORESTAN FERNANDES|1100023|BR 364 LC 19||ZONA RURAL|||||1100023|Ariquemes|RO
11044454|ASSOCIACAO COMUNITARIA DA CRECHE MORANGUINHO|1100023|TRAVESSA AQUARIQUARA||SETOR INSTITUCIONAL|0||||1100023|Ariquemes|RO
11044462|CENTRO EDUCACIONAL MONTEIRO LOBATO|1100023|AVENIDA JUSCELINO KUBITSCHEK||BOM JESUS|0||||1100023|Ariquemes|RO
11046007|EMEF SILVIO RODRIGUES|1100023|BR 364 LC19 KM 25||ZONA RURAL|||||1100023|Ariquemes|RO
11047291|CENTRO EDUCACIONAL SESC ARIQUEMES|1100023|AVENIDA TANCREDO NEVES|INSTITUICAO|SETOR INSTITUCIONAL|0||||1100023|Ariquemes|RO
11048476|CMEI CRIANCA FELIZ|1100023|RUA DO ZOOLOGICO||SETOR 08|0||||1100023|Ariquemes|RO
11048611|CMEI ARIKEM|1100023|RUA CARDEAL||SETOR 02|0||||1100023|Ariquemes|RO
11048620|EEEMTI PROFESSORA CARMEM IONE DE ARAUJO|1100023|RUA URSA MAIOR||ROTA DO SOL|0||||1100023|Ariquemes|RO
11049375|CEET - CENTRO DE EXCELENCIA EM EDUCACAO E TECNOLOGIA SENAI - JOSE FERNANDES DE MOURA|1100023|AVENIDA TANCREDO NEVES||SETOR INSTITUCIONAL|0||||1100023|Ariquemes|RO
11049758|SENAC ARIQUEMES|1100023|RUA DOS INOCENTES||SETOR GRANDES AREAS|0||||1100023|Ariquemes|RO
11049910|COLEGIO EXCELENCIA|1100023|RUA DAS ORQUIDEAS||SETOR 4|0||||1100023|Ariquemes|RO
11050233|EEEFM PROFESSORA QUITERIA DE OLIVEIRA DA SILVA|1100023|AREA RURAL|GARIMPO BOM FUTURO|AREA RURAL DE ARIQUEMES|0||||1100023|Ariquemes|RO
11050586|CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO - AMAAR|1100023|RUA FRANCA||JARDIM EUROPA|0||||1100023|Ariquemes|RO
11050772|EMEIEF PROFESSOR GESSI JANES SOARES MOREIRA|1100023|AVENIDA HUGO WALDEMAR FREY||JARDIM ALVORADA|0||||1100023|Ariquemes|RO
11050950|COLEGIO CRISTAO DE ARIQUEMES|1100023|AVENIDA JUSCELINO KUBITSCHEK||SETOR INSTITUCIONAL|0||||1100023|Ariquemes|RO
11052406|CENTRO DE EDUCACAO INFANTIL RENASCER|1100023|AVENIDA PERIMETRAL LESTE||SAO LUIZ|||||1100023|Ariquemes|RO
